القرية:,Y,X,المحاصيل الرئيسية:,توقيت المحاصيل:,مستوى الانتاج:,المنتجات التقليدية الرئيسية:,نسبة المشاركين في تحضير المؤونة:,انواع الحيوانات:,عدد الطيور:,نوع العلف:
Al-Warhaniyeh,33.737053,35.680277,"Olives Sumac Apples and peaches Fruits, citrus fruits, olives and walnuts Mountain tomatoes and cherries Apples, vegetables and peaches Peaches",June July August,"Small production, large production, medium production","Other pickled vegetables (e.g. cucumber, maqdous) olive oil dried herbs thyme jams or preserves grape molasses",Most homes (60–80%),Laying hens,Between 20 and 50,Domestic or agricultural waste is a mixture of the two
Bater,33.603991,35.614259,"Olives and pomegranates, broad-leaved beans, broad and erect seasons",June July August,Average production,"Honey, olive oil, dried herbs (such as thyme), jams or preserves, dairy products (labneh, cheese)",Most homes (60–80%),Laying hens,Between 20 and 50,A mix between the two
Btalloun,33.702883,35.655584,"Beans Apple trees Tomatoes Beans for the home Apples Legumes and summer fruits Nuts, cherries, peaches, olives, and beans Vegetables in general, fruit trees",June July August,"Small production, large production, medium production","Dried herbs (such as thyme) Jams or preserves Pickled vegetables Cucumbers, maqdous (grape molasses) Dairy products (labneh, cheese) Others Olive oil",Most homes (60–80%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two"
Barja,33.650045,35.424124,"Beans, thyme, tomatoes, cucumber, and pepper",June July August,Small production medium production,"Pickled vegetables (e.g. cucumber, maqdous, olive oil, dried herbs, thyme)",Most homes (60–80%),Laying hens,Between 20 and 50,Ready-made commercial feed is a mixture of the two
Breih,33.716657,35.653917,"Vegetables and trees, such as apples, olives, cherries, pollen, and avocados",June July August,Small production big production,"Olive oil, pickled vegetables (such as cucumber, maqdoos), honey",Most homes (60–80%),Laying hens,Less than 20,"Ready-made commercial feed, household or agricultural waste"
Bshtfine,33.717805,35.557639,"Onions, white beans, olives, vegetables",June July August,Small production medium production,"Olive oil Dried herbs (e.g. thyme) Jams or preserves Pickled vegetables Cucumbers, maqdous) Grape molasses",Some homes (30–60%),Laying hens,Less than 20,Domestic or agricultural waste
Baaqline,33.68101,35.56628,"Civilization, wheat, barley, cucumber, tomato, bean, pea, zucchini",June July August,"Small production, large production, medium production","Olive oil Dried herbs (such as thyme) Other jams or preserves Honey Dairy products Labneh, cheese)",Most homes (60–80%),Laying hens,Between 20 and 50,A mix between the two
Khraybeh El Chouf,33.646438,35.642387,"Mature trees and vegetables, olives and fruits",April to September,Average production,"Olive oil, pickled vegetables (e.g. cucumber, maqdous), dried herbs, thyme, jams or preserves, grape molasses",Some homes (30–60%),Laying hens,Less than 20,A mix between the two
Dmit El Chouf,33.698185,35.505803,"Olives, vegetables and fruits, broad beans and tomatoes",June July August,Average production,"Olive oil Pickled vegetables (e.g. cucumber, maqdous) Dried herbs Thyme Jams or preserves Dairy products Labneh, cheese)",Some homes (30–60%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste"
Deir El Qamar,33.702054,35.556728,"Olives, fruits, vegetables, beans and tomatoes",,Small production,"Pickled vegetables (e.g. cucumber, maqdous) Dried herbs Thyme Jams or preserves Olive oil Dairy products Labneh, cheese)",Some homes (30–60%),Laying hens,Between 20 and 50,Ready commercial feed
Deir Baba,33.703575,35.525734,"Summer vegetables: beans and squash, beans and squash",June August,Small production,"Olive oil, pickled vegetables (such as cucumber, maqdoos), honey",Most homes (60–80%),Laying hens,Less than 20,A mix between the two
Chahim,33.627649,35.488343,"Olives, vegetables and fruits, tomatoes and cucumbers, vegetables, fruit seedlings, I do not plant them, and my pain comes. They made us ornaments for the family.",All year,Small production,"Olive oil Dried herbs (such as thyme) Jams or preserves Dairy products (labneh, cheese) Pickled vegetables (cucumber, maqdous)",Most homes (60–80%),Laying hens,Between 51 and 100,A mix between the two
Ammatour,33.648711,35.607415,"Avocado, grapes, olives, tomatoes, okra, vegetables and legumes",All year,Average production,"Olive oil Pickled vegetables (such as cucumber, maqdous) Jams or preserves Honey Dairy products Labneh, cheese) Other",Most homes (60–80%),Laying hens,Between 20 and 50,A mix between the two
Ain W Zain,33.679876,35.6172,"Tomatoes, fodder for livestock, such as barley, olives, and cabbage parsley",June July August,Average production,"Pickled vegetables (such as cucumber, maqdous) Olive oil Dried herbs Thyme Jams or preserves Honey Dairy products Labneh, cheese",Most homes (60–80%),Laying hens,Between 20 and 50,A mix between the two
Gharifeh,33.644017,35.562358,Legumes and olive tree vegetables only,June July August,Small production,"Pickled vegetables (such as cucumber, maqdoos) Olive oil",Some homes (30–60%),Laying hens,Less than 20,Domestic or agricultural waste
Kfarhaym,33.697363,35.50962,"Tomatoes, cucumbers, eggplant, zucchini and beans",June July August,Small production,"Other dairy products (such as labneh, cheese)",Most homes (60–80%),Laying hens,Less than 20,A combination of the two. I preferred to eat homemade food or buy them wheat and waste
Mrosti,33.638588,35.662419,"Apples and cherries, all kinds of vegetables, tomatoes, vegetables, pears, cherries, cabbage, potatoes, planting cowpeas, fruit trees, tomatoes, cucumbers, apples, and summer vegetables, onions.",June July August,Great production,"Others Dried herbs (such as thyme) Honey Grape molasses Jams or preserves Dairy products (labneh, cheese) Pickled vegetables (cucumber, maqdous) Olive oil",Most homes (60–80%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, wheat, corn, and bran, a mixture of the two"
Mazraat El Chouf,33.637961,35.592496,"Mountain tomatoes, mixed vegetables, beans, kidney beans, cucumbers, figs, olives, and berries",June July August,Great production,"Other Pickled vegetables (such as cucumber, maqdous) Olive oil Dried herbs Thyme Dairy products Labneh, cheese Jams or preserves Honey",Most homes (60–80%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two"
Maaser El Chouf,33.691618,35.667699,"Apple trees, sustainable agriculture, tomatoes, chickpeas, olives, pine",June July August,Average production,"Dried herbs (such as thyme), jams or preserves, grape molasses, olive oil, pickled vegetables, cucumbers, maqdous)",Most homes (60–80%),Laying hens,Between 20 and 50,Domestic or agricultural waste is a mixture of the two
Deir Dourit,33.692085,35.542311,"Fruits, citrus fruits, beans, olives, green trees and avocados",June July August,Average production,"Olive oil, pickled vegetables (e.g. cucumber, maqdous), dried herbs, thyme, jams or preserves",Most homes (60–80%),chicken meat (meat),Less than 20,"Ready-made commercial feed, household or agricultural waste, a mixture of the two"
Al-Simqaniyeh,33.685768,35.589248,"Mountain tomatoes + beans, cucumbers and zucchini",June July August,Average production,"Olive oil, pickled vegetables (eg cucumber, maqdous), jams or preserves, honey",Most homes (60–80%),,,
Al-Mtalleh,33.614412,35.540722,"Tomatoes, cucumbers and olives",From May to September,Small production,"Olive oil pickled vegetables (such as cucumber, maqdous)",Almost all homes,,,
Al-Mughayziyeh,33.610274,35.462913,Avocado and seedlings,December to March,Small production,"Olive oil, pickled vegetables (e.g. cucumber, maqdous), dried herbs, thyme)",Few houses (< 30%),,,Ready-made commercial feed is a mixture of the two
Barouk,33.70841,35.671584,Tomato cabbage,May of Manon I,Average production,"Pickled vegetables (eg cucumber, maqdous) Other jams or preserves",Most homes (60–80%),,,
Baatharan,33.639561,35.619518,Mature trees,June July August,Small production,Olive oil jams or preserves,Some homes (30–60%),,,
Bkifa,33.592376,35.493755,Varieties of plants with vegetable cultivation,June July August,Average production,"Pickled vegetables (such as cucumber, maqdoos)",Some homes (30–60%),,,
Khirbet Bosri,33.585476,35.510269,Olives and thyme,December,Average production,"Olive oil, dried herbs (such as thyme), honey",Some homes (30–60%),,,
Charoun,33.806677,35.703264,Vegetable apple,June July August,Small production,"Pickled vegetables (such as cucumber, maqdoos)",Few houses (< 30%),,,
Chawalik Deir El Qamar,33.702577,35.562627,Olive beans,July - October,Average production,"Olive oil, pickled vegetables (eg cucumber, maqdous), jams or other preserves",Most homes (60–80%),,,
Atrine,33.671272,35.568355,Tomatoes and cabbage,June July August,Average production,Olive oil honey,Few houses (< 30%),,,
Mazmoura,33.598838,35.50846,Avocado and thyme,June July August,Small production,Dried herbs (eg thyme) others,Few houses (< 30%),,,
Al-Bireh,33.73086,35.646694,"Tomatoes, cucumber, parsley, green beans",June July August,Average production,"Olive oil, pickled vegetables (e.g. cucumber, maqdous), dried herbs, thyme)",Some homes (30–60%),,,
