القرية:,Y,X,المحصول:,اشهر الزراعة:,ريّ المحصول:,مصدر مياه الريّ الرئيسي:,توفر المياه:,أشهر شح المياه:
Deir El Qamar,33.706544,35.556728,Tomato beans,May August June November,"Once every 15 days, twice a week, daily",Drinking water Water transportation by tankers,Sometimes enough,"August, September, and August"
Deir Dourit,33.696575,35.542311,Olive avocado,June,"Not irrigated every two days, once a month, 15 days","Irrigation canals, river, stream, water transport by tanks",It rarely is,August is September and July is July
Deir Baba,33.708065,35.525734,,June,"Once a week, twice","Underground well, irrigation channels",Sometimes enough,August and October
Charoun,33.811167,35.703264,Vegetables,,Every two days,Underground well,always,
Chahim,33.632139,35.488343,,,"Not irrigated once a week, twice a week","Only rainwater, river, stream, water transport by tankers",It rarely is,Summer months
Chawalik Deir El Qamar,33.707067,35.562627,,July,Once a week,Irrigation channels,Sometimes enough,July August September
Aanout,33.636209,35.512598,"Beans, chickpeas, tomatoes, cucumber, zucchini, and pumpkin",April,"Not irrigated every two days, once a week",Only rain water is transported by tankers,It rarely is,Summer months
Atrine,33.675762,35.568355,,,Once a week,Water transportation by tankers,It rarely is,July August
Aalman,33.603189,35.407042,Avoca lemon cream,March October November April February December,"Once a week, every 15 days, twice","Underground well, water transportation by tankers, private water for the estate, paid on an hourly basis, irrigation channels",Sometimes enough,Summer months
Ammatour,33.653201,35.607415,avocado,May September July,"Every two days, once a week, twice a week","Irrigation channels, water transport by tanks, river, stream",Sometimes enough,August September July
Ain Zahlta,33.754771,35.693978,"Apples, legumes",September,"Every two days, once 15 days","Water spring, river, stream",Sometimes enough,September October July August
Ain Qani,33.65771,35.61163,,,Every two days,"River, water stream",Sometimes enough,dad
Ain W Zain,33.684366,35.6172,"Tomatoes, parsley, olives",September June February,"Not irrigated every two days, once a week","Only rain water, irrigation channels, water transport by tanks, river, stream",Sometimes enough,Summer months
Gharifeh,33.648507,35.562358,olive,,untold,Only rain water is transported by other tankers,always,Summer months
Ktermaya El Chouf,33.630531,35.454315,,,Twice a week,Water transportation by tankers,Completely insufficient,Most of the months
Kahlouniyeh El Chouf,33.657499,35.588746,Olives vegetables tomato cucumber,December,"Every two days, once every 15 days",Water transportation by tankers,Sometimes enough,July August month
Kfarhaym,33.701853,35.50962,Cucumber and zucchini,,"Twice a week, daily","An underground well, only rainwater from a spring",Sometimes enough,
Kfarfakoud,33.707844,35.537408,,,Once a week,"River, water stream",It rarely is,
Kfarfakoud El Chouf,33.713,35.535801,Ganark and lemon beans,,"Once a week, twice","Rainwater water tank, irrigation channels",Sometimes enough,August-September-July-August-September
Kfarnabrakh,33.705373,35.63186,"Apple, tomato, olive, pine, avoca, citrus",July June April,"Every two days, once a week, twice a month, 15 days","Only rainwater, river, stream, irrigation canals, water transport by tankers",Sometimes enough,"July, August, June, July, August, September, October and the second"
Majdel El Meouch,33.730095,35.622299,,June August July,"Every two days, twice a week","Irrigation canals, river, stream",Sometimes enough,September June July August
Mrosti,33.643078,35.662419,"Fruit trees and crops: tomatoes, cowpeas, cucumbers, onions, thyme, apples, honey, cherries, Najas apples, cucumbers, peppers",March April August May September July June October June,"Every two days, once a week, a month, 15 days, twice, once every 15 days","Underground well and lake, ponds, winter collection, tonal or water harvester only, rainwater, water collection tank, irrigation channels, tanker transport, others, town cistern only, rainwater",Sometimes enough,"August, September, October, and October are July"
Mazboud,33.616901,35.485018,"Citrus fruits, avocados, olives and vegetables",September,"Every two days, once 15 days a day",Only rainwater is transported by rainwater tankers in the Barouk summer months via the network,Sometimes enough,Summer months
Mazraat El Chouf,33.642451,35.592496,Fig olives,September,"Not irrigated, not irrigated every two days, not irrigated, every two days, once a week, twice","Underground well, water transportation by tankers, Ain tank, Al-Shifa water only, rainwater, water transportation by tankers only, rainwater, underground well",Sometimes enough,Summer months
Mazmoura,33.603328,35.50846,,,daily,Only rain water is transported by tankers,Completely insufficient,June July August September
Maaser El Chouf,33.696108,35.667699,Pine nuts,February March,Not irrigated once a week,"Only rain water, water transport by tankers, river, stream, irrigation canals",It rarely is,"July, August, September, August"
Niha El Chouf,33.615001,35.621215,,September,Not irrigated twice a week,Only rainwater from the village's spring is a blessing,Sometimes enough,Summer months
Warhaniyeh,33.74525,35.673121,Peaches to apples,June September,Once a week,"River, water stream",Sometimes enough,July August
