القرية:,Y,X,حجم الزراعة:,نوع التربة:,التغيرات المناخية:,تأثير الغيرات المناخية:
Breih,33.712167,35.649427,"More than 1 hectare (>10,000 m2)",Loamy soil (clay and sandy),"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Bshtfine,33.713315,35.553149,Less than 5 dunums (< 5000 square metres),Loamy soil (clay and sandy),"High temperatures, decreased rainfall, and increased heat waves",Decreased production Increased pests and diseases
Btameh,33.659884,35.619152,"More than 1 hectare (>10,000 m2)",Loamy (clay and sandy) calcareous soil,"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Baatharan,33.635071,35.615028,"More than 2 hectares (>20,000 m2)",Clay soil,,No big effect
Baaqline,33.67652,35.56179,"More than 2 hectares (>20,000 m2)","Acidic soil (sandy with the presence of stone pine trees), loam (clay and sandy), and calcareous","High temperatures, lack of rainfall, changing the timing of planting, affecting the production season, increasing heat waves, frost","Decreased production, delay in agricultural seasons, increased pests and diseases"
Bkifa,33.587886,35.489265,"More than 2 hectares (>20,000 m2)",Clay soil,High temperatures,Increase in pests and diseases
Jadideh El Chouf,33.660837,35.600025,Less than 5 dunums (< 5000 square metres),Clay soil,"High temperatures, lack of precipitation",Difficulties in pollination and fruiting
Haret Jandal El Chouf,33.613917,35.604788,"Less than 1 hectare (< 10,000 m2)",Clay soil,"High temperatures, lack of precipitation",Decreased production Increased pests and diseases
Khirbet Bosri,33.580986,35.505779,"Less than 1 hectare (< 10,000 m2)",Calcareous soil,"High temperatures, lack of precipitation",Low production
Khraybeh El Chouf,33.641948,35.637897,"More than 1 hectare (>10,000 m2)",Clay soil,"High temperatures, decreased rainfall, and increased heat waves","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Daraya El Chouf,33.647623,35.497831,Less than 5 dunums (< 5000 square metres),Clay soil,"High temperatures, decreased rainfall, and increased heat waves","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Dmit El Chouf,33.693695,35.501313,Less than 5 dunums (< 5000 square metres),Loamy soil (clay and sandy),"High temperatures, decreased rainfall, and increased heat waves","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Deir El Qamar,33.697564,35.552238,Less than 5 dunums (< 5000 square metres),Sandy loam soil (clay and sandy),"High temperatures, decreased rainfall, and increased heat waves","Decreased production, delay in agricultural seasons, increased pests and diseases"
Deir Dourit,33.687595,35.537821,Less than 5 dunums (< 5000 square metres),Loamy soil (clay and sandy),"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting, no significant impact"
Deir Baba,33.699085,35.521244,Less than 5 dunums (< 5000 square metres),Loamy soil (clay and sandy),"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Charoun,33.802187,35.698774,Less than 5 dunums (< 5000 square metres),Loamy soil (clay and sandy),"High temperatures, lack of precipitation, increased heat waves, frost","Decreased production, delay in agricultural seasons, increased pests and diseases"
Chahim,33.623159,35.483853,Less than 5 dunums (< 5000 square metres),Clay soil,"Higher temperatures, decreased precipitation, increased heat waves, and water","Low production, delay in agricultural seasons, difficulties in pollination and fruiting"
Chawalik Deir El Qamar,33.698087,35.558137,"More than 1 hectare (>10,000 m2)",Loamy soil (clay and sandy),"High temperatures, decreased rainfall, and increased heat waves","Decreased production, delay in agricultural seasons, increased pests and diseases"
Aanout,33.627229,35.508108,Less than 5 dunums (< 5000 square metres),Loamy soil (clay and sandy),"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, increase in pests and diseases, difficulties in pollination and fruiting"
Atrine,33.666782,35.563865,Less than 5 dunums (< 5000 square metres),Clay soil,"High temperatures, lack of precipitation",Decreased production Increased pests and diseases
Aalman,33.594209,35.402552,"More than 2 hectares (>20,000 m2)",Sandy loam (clay and sandy) calcareous soil,"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Ammatour,33.644221,35.602925,"More than 2 hectares (>20,000 m2)",Calcareous clay soil,"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, difficulties in pollination and fruiting, increase in pests and diseases"
Ain Zahlta,33.745791,35.689488,Less than 5 dunums (< 5000 square metres),Sandy loam soil (clay and sandy),"High temperatures, decreased rainfall, and increased heat waves","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Ain Qani,33.64873,35.60714,Less than 5 dunums (< 5000 square metres),Clay soil,"High temperatures, lack of precipitation",Low production delay in agricultural seasons
Ain W Zain,33.675386,35.61271,"More than 1 hectare (>10,000 m2)",Loamy (clay and sandy) calcareous soil,"High temperatures, decreased precipitation, increased frost, heat waves","Decreased production, delay in agricultural seasons, increased pests and diseases"
Gharifeh,33.639527,35.557868,Less than 5 dunums (< 5000 square metres),Loamy soil (clay and sandy),"High temperatures, lack of rainfall, increased heat waves, and an abundance of insects due to frost","Increased pests and diseases, difficulties in pollination and fruiting"
Ktermaya El Chouf,33.621551,35.449825,Less than 5 dunums (< 5000 square metres),Clay soil,"High temperatures, lack of precipitation",Decreased production Increased pests and diseases
Kfarhaym,33.692873,35.50513,Less than 5 dunums (< 5000 square metres),Sandy loam soil (clay and sandy),"High temperatures, decreased untimely rainfall, and decreased heat waves",Low production no significant impact
Kfarfakoud,33.698864,35.532918,"More than 1 hectare (>10,000 m2)",Loamy (clay and sandy) calcareous soil,"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, increase in pests and diseases, difficulties in pollination and fruiting"
Kfarnabrakh,33.696393,35.62737,"More than 2 hectares (>20,000 m2)",Sandy loam (clay and sandy) calcareous soil,"High temperatures, decreased rainfall, and increased heat waves","Decrease in production, increase in pests and diseases, delay in agricultural seasons"
Majdel El Meouch,33.721115,35.617809,"More than 1 hectare (>10,000 m2)",Loamy (clay and sandy) calcareous soil,"High temperatures, lack of precipitation, increased heat waves, frost","Decreased production, delay in agricultural seasons, increased pests and diseases"
Mokhtara,33.658863,35.608259,Less than 5 dunums (< 5000 square metres),Clay soil,"High temperatures, lack of precipitation",Increase in pests and diseases
Mrosti,33.634098,35.657929,"More than 2 hectares (>20,000 m2)",Sandy loam (clay and sandy) calcareous soil,"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Mazboud,33.607921,35.480528,Less than 5 dunums (< 5000 square metres),Sandy loam (clay and sandy) calcareous soil,"High temperatures, lack of precipitation, increased heat waves, water frosts in the winter","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Mazraat El Chouf,33.633471,35.588006,"More than 2 hectares (>20,000 m2)",Sandy loam (clay and sandy) calcareous soil,"High temperatures, decreased precipitation, increased frost, heat waves","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Mazraat El Chouf,33.633939,35.582526,"More than 1 hectare (>10,000 m2)",Loamy soil (clay and sandy),"High temperatures, lack of precipitation",Decreased production Increased pests and diseases
Mazmoura,33.594348,35.50397,"More than 1 hectare (>10,000 m2)",Loamy soil (clay and sandy),"High temperatures, decreased precipitation, increased frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Maaser El Chouf,33.687128,35.663209,Less than 5 dunums (< 5000 square metres),Loamy soil (clay and sandy),"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Niha El Chouf,33.606021,35.616725,"More than 2 hectares (>20,000 m2)",Calcareous clay soil,"Lack of precipitation increases heatwaves, frosts","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Warhaniyeh,33.73627,35.668631,"More than 1 hectare (>10,000 m2)",Clay soil,"High temperatures, lack of precipitation",Decreased production Increased pests and diseases
