القرية:,Y,X,مصدر الطاقة:,كمية الطاقة المستخدمة خلال موسم الذروة :,يدويا%:,ديزل%:,شبكة%:,بنزين%:,شمسية%:,Diesel L/Week (Avg):,Benzine L/Week (Avg):,kW/Week (Avg):
Kfarfakoud,33.698864,35.537408,Manually,nothing,33.33,0,66.67,0,0,0,0,0
Kfarnabrakh,33.695033,35.638367,Manually,Watering with draft water,50,16.67,0,0,16.67,1,0,0
Majdel El Meouch,33.721115,35.622299,Manually,attractiveness,100,0,0,0,0,1,0,0
Mrosti,33.634098,35.662419,Manually,One liter of diesel per week,100,0,0,0,0,1,0,0
Mrosti,33.615696,35.647482,Manually,Boric water,55,25,20,10,5,1.22,10,0
Mazboud,33.607921,35.485018,Electricity from the grid,One kilowatt-hour of electricity per week,33.33,66.67,66.67,0,33.33,1,0,0
Mazraat El Chouf,33.62904,35.586971,Manually,One kilowatt-hour of electricity per week,75,12.5,0,0,12.5,10.5,0,0
Mazmoura,33.594348,35.50846,Diesel generator electricity from the grid manually,One liter of diesel per week,100,100,100,0,0,1,0,0
Maaser El Chouf,33.659007,35.649514,Manually,10 Liter by week,66.67,33.33,0,0,0,0,0,0
Niha El Chouf,33.484021,35.51801,Manually,Manual work,100,0,0,0,0,0,0,0
