القرية:,Y,X,تقنيات الزراعة التجديدية:,أنواع محسنات التربة:,الاسمدة الكيميائية:,مكافحة الآفات:,المبيدات الكيميائية:
Daraya El Chouf,33.643133,35.502321,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers | Animal manure Organic compost,Partial credit,Homemade pesticides | Chemical control pesticides,Partial credit
Dmit El Chouf,33.689205,35.505803,Using organic materials,Chemical fertilizers|  Organic compost  Animal manure,Partial credit,Physical control double door traps... | Chemical control pesticides,Partial credit
Deir El Qamar,33.693074,35.556728,"Minimize or no-till using organic materials, incorporating crop residues/weeds | Reduced or no-tillage is a vital pest control",Chemical fertilizers | Animal manure,Partial credit,Chemical control pesticides | Homemade pesticides,Partial credit
Deir Dourit,33.683105,35.542311,"Using organic materials Reducing or no tillage using organic materials, incorporating biofertilizers, biological pest control, organic fertilization",Chemical fertilizers |   Organic compost  Animal manure,Partial credit,Homemade pesticides | Chemical control pesticides,Partial credit
Deir Baba,33.694595,35.525734,Reduce or no tillage Reducing or no-tillage organic fertilization,Chemical fertilizers|   Animal manure,Partial credit,Chemical control pesticides,Partial credit
Charoun,33.797697,35.703264,,Chemical fertilizers,Partial credit,Homemade pesticides,Partial credit
Chahim,33.618669,35.488343,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Animal manure Food waste and peels,It is not used,Homemade pesticides | Chemical control pesticides,Partial credit
Chawalik Deir El Qamar,33.693597,35.562627,,Chemical fertilizers,,Chemical control pesticides,Total dependence
Aanout,33.622739,35.512598,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers |  Animal manure  Biofertilizers,Partial credit,Chemical control pesticides,Partial credit
Atrine,33.662292,35.568355,"Using organic materials, food waste recycling/compost, and organic composting",Organic compost  Animal manure,It is not used,Biological control of natural enemies Biocides,It is not used
Aalman,33.589719,35.407042,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers |   Animal manure  Organic compost | Biofertilizers,Partial credit,Chemical control pesticides,Partial credit
Ammatour,33.639731,35.607415,Using organic materials for organic fertilization  Using organic materials incorporating crop residues/weeds for organic fertilization,Chemical fertilizers |  Organic compost  Animal manure Biofertilizers,Partial credit,"Chemical control pesticides | Biological control, natural enemies, biocides",Partial credit
Ain Zahlta,33.741301,35.693978,Food Waste Recycling/Composting Crop/Weed Residue Incorporation | Cover crops Rotate crops,Very little chemical fertilizers Animal manure,Partial credit,Chemical control pesticides,Partial credit
Ain Qani,33.64424,35.61163,Organic fertilization,Animal manure,Partial credit,Homemade pesticides,Partial credit
Ain W Zain,33.670896,35.6172,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Organic compost |   Animal manure Biofertilizers,Partial credit,"Homemade pesticides | Biological control, natural enemies, biocides Chemical control pesticides",Partial credit
Gharifeh,33.635037,35.562358,"Using organic materials  Using Organic Materials After plowing the land several times using mules, their dung (manure) is used to fertilize the land.",Animal manure,It is not used,Physical control double door traps... | Chemical control pesticides,Partial credit
Ktermaya El Chouf,33.617061,35.454315,Reducing or no-tillage organic fertilization,Animal manure,Partial credit,Homemade pesticides,Partial credit
Kahlouniyeh El Chouf,33.644029,35.588746,Reduce or no tillage by using organic materials. Organic mulching,Biofertilizers  Animal manure,Partial credit,"Chemical control, pesticides, biological control, natural enemies, biopesticides, homemade pesticides",Partial credit
Kahlouniyeh El Chouf,33.644724,35.588947,Using organic materials to recycle food waste/compost,Natural animal fertilizer,Partial credit,Chemical control pesticides,Partial credit
Kfarhaym,33.688383,35.50962,"|  Using organic materials, organic fertilization, fertilizing land from black goats Incorporation of biofertilizers blackening goats",Goat black animal dung Organic compost,Partial credit,"Homemade pesticides | Biological control, natural enemies, biocides",It is not used
Kfarfakoud,33.694374,35.537408,Using organic materials Food waste recycling/compost Incorporation of crop/weed residues Organic composting | Reducing or no-tillage organic fertilization,Organic compost |  Animal manure Organic compost | Biofertilizers,Partial credit,"Homemade pesticides | Biological control, natural enemies, biocides Anti-physical traps double doors...",Partial credit
Kfarnabrakh,33.691903,35.63186,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers |  Animal manure  Organic compost |   Biofertilizers | Animal manure,Partial credit,Chemical control pesticides | Chemical control pesticides Homemade pesticides,Partial credit
Majdel El Meouch,33.716625,35.622299,Using organic materials for organic fertilization  Using organic materials incorporating crop residues/weeds for organic fertilization,"Chemical fertilizers, organic compost, animal manure",Partial credit,"Chemical control pesticides | Chemical control, pesticides, biological control, natural enemies, biological pesticides",Partial credit
Mrosti,33.629608,35.662419,"Using organic materials, food waste recycling/compost, organic mulching, organic composting",Organic compost of animal manure,Partial credit,Chemical control pesticides,Partial credit
Mrosti,33.627146,35.649698,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers |   Animal manure    Organic compost |  Biofertilizers | Sterilization washing in the carcass,Partial credit,"Homemade pesticides | Biological control, natural enemies, biocides Physical control double door traps... | Chemical control pesticides |",Partial credit
Mazboud,33.603431,35.485018,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers |  Animal manure,Partial credit,"Biological control, natural enemies, biopesticides, homemade pesticides | Chemical control pesticides",Partial credit
Mazraat El Chouf,33.628981,35.592496,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers|   Animal manure Recycling food waste Chicken manure Organic compost,Partial credit,Homemade pesticides | Physical control double door traps... | Chemical control pesticides,Partial credit
Mazraat El Chouf,33.629449,35.587016,Using organic materials for organic fertilization,Organic compost  Animal manure,It is not used,"Chemical control, pesticides, biological control, natural enemies, biological pesticides",Partial credit
Mazraat El Chouf,33.625626,35.587199,Organic fertilization,Chemical fertilizers | Animal manure,Partial credit,Homemade pesticides | Chemical control pesticides,Partial credit
Mazmoura,33.589858,35.50846,Reducing or not tilling by using organic materials and organic fertilization,Chemical fertilizers|  Organic compost  Animal manure,Partial credit,Chemical control pesticides Homemade pesticides,Total dependence
Maaser El Chouf,33.682638,35.667699,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers | Animal manure Organic compost Biofertilizers,Partial credit,Biological control Natural enemies Biocides Physical control Traps Double doors... |,Partial credit
Niha El Chouf,33.601531,35.621215,"Using organic materials  Using organic materials, incorporating biofertilizers, organic fertilization Reducing or no-tillage organic fertilization",Animal manure Organic compost,Partial credit,"Biological control, natural enemies, biocides Chemical control pesticides",Partial credit
Warhaniyeh,33.73178,35.673121,Using Organic Materials Food Waste Recycling/Compost Cover Crops Organic Composting Crop Recycling,Chemical fertilizers |  Animal manure,Partial credit,Chemical control pesticides,Total dependence
Deir Dourit,33.679451,35.531821,Organic fertilization,Chemical fertilizers,Partial credit,Chemical control pesticides,Total dependence
