القرية:,Y,X,المحاصيل الرئيسية:,توقيت المحاصيل:,مستوى الانتاج:,المنتجات التقليدية الرئيسية:,نسبة المشاركين في تحضير المؤونة:,انواع الحيوانات:,عدد الطيور:,نوع العلف:
الجاهليه,33.673724,35.510862,البندورة وخيار خيار و فاصوليا,ايار حزيران تموز,إنتاج صغير,"أخرى زيت الزيتون منتجات الألبان (مثل اللبنة، الجبنة)",بعض المنازل (30–60%),دجاج بيّاض   دجاج  (لحم),بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية
كحلونيه الشوف,33.653009,35.588746,أشجار الزيتون والخضروات بندوره خيار كل شي,حزيران تموز اب ايلول,إنتاج صغير ,"الخضروات المخللة (مثل الخيار، المقدوس) الأعشاب المجففة الزعتر) المربيات أو المحفوظات منتجات الألبان اللبنة، الجبنة) زيت الزيتون العسل",معظم المنازل (60–80%),دجاج بيّاض  دجاج  (لحم),بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية مزيج بين الاثنين
بطمه,33.664374,35.623642,الزيتونخيمة زراعية البندورة بقدونس خيار خضار موسمي بندوره,حزيران تموز اب ايلول,إنتاج صغير  إنتاج متوسط,"المربيات أو المحفوظات زيت الزيتون الأعشاب المجففة (مثل الزعتر) دبس العنب منتجات الألبان اللبنة، الجبنة)",بعض المنازل (30–60%),دجاج بيّاض  دجاج  (لحم)   فري  ,بين 20 و50,علف تجاري جاهز مزيج بين الاثنين
مجدل المعوش,33.725605,35.622299,البندورة قمح وخضروات ورقية,,إنتاج كبير  ,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) الأعشاب المجففة الزعتر) منتجات الألبان اللبنة، الجبنة) أخرى",معظم المنازل (60–80%),دجاج بيّاض  دجاج  (لحم)  ,أكثر من 100,علف تجاري جاهز
الباروك,33.704818,35.670304,البندورة و الخضار التفاح الدراق بعض الزرعات الصيفيّة جبلية خيار تفاح خضار وفواكه ملفوف,حزيران تموز اب ايلول,إنتاج صغير  إنتاج كبير  إنتاج متوسط,"الخضروات المخللة (مثل الخيار، المقدوس) الأعشاب المجففة الزعتر) المربيات أو المحفوظات العسل دبس العنب منتجات الألبان اللبنة، الجبنة) أخرى",معظم المنازل (60–80%),دجاج بيّاض  ,بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية مزيج بين الاثنين قمح
الدامور,33.7917396,35.4787639,افوكادو الثاني اشطا الموز والافوكا فريز بندوره ليمون و موز وافوكا,حزيران تموز اب ايلول,إنتاج صغير  إنتاج كبير  إنتاج متوسط,أخرى الأعشاب المجففة (مثل الزعتر) المربيات أو المحفوظات زيت الزيتون,معظم المنازل (60–80%),دجاج بيّاض  ,بين 20 و50,مزيج بين الاثنين
الكحلونيه,33.653703,35.589124,الخضار الموسمية الزيتون والتين البندورة خيار خضروات زيتون وتين وعني وفول ورمان وحديثا صبير مفتي وزعتر وزيتون,حزيران تموز اب ايلول,إنتاج صغير  إنتاج متوسط,"الأعشاب المجففة (مثل الزعتر) المربيات أو المحفوظات أخرى زيت الزيتون الخضروات المخللة الخيار، المقدوس) دبس العنب",معظم المنازل (60–80%),دجاج بيّاض  ,بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية مزيج بين الاثنين
الورهانيه,33.737053,35.680277,زيتون سماق التفاح والدراق الفواكه و الحمضيات والزيتون والجوز البندورة جبليه وكرز تفاح وخضار وخوخ دراق,حزيران تموز اب ايلول,إنتاج صغير  إنتاج كبير  إنتاج متوسط,"أخرى الخضروات المخللة (مثل الخيار، المقدوس) زيت الزيتون الأعشاب المجففة الزعتر) المربيات أو المحفوظات دبس العنب",معظم المنازل (60–80%),دجاج بيّاض  ,بين 20 و50,مخلفات منزلية أو زراعية مزيج بين الاثنين
باتر,33.603991,35.614259,زيتون و الرمان فاصوليا عريضة القرعة فصولي عاريض ونصب,حزيران تموز اب ايلول,إنتاج متوسط,"العسل زيت الزيتون الأعشاب المجففة (مثل الزعتر) المربيات أو المحفوظات منتجات الألبان اللبنة، الجبنة)",معظم المنازل (60–80%),دجاج بيّاض  ,بين 20 و50,مزيج بين الاثنين
بتلون,33.702883,35.655584,فاصوليا أشجار تفاح البندورة لوبية للبيت التفاح بقول وفواكه صيفية جوز وكرز دراق زيتون حر ولوبية خضار بشكل عام شجر مثمرة,حزيران تموز اب ايلول,إنتاج صغير  إنتاج كبير  إنتاج متوسط,"الأعشاب المجففة (مثل الزعتر) المربيات أو المحفوظات الخضروات المخللة الخيار، المقدوس) دبس العنب منتجات الألبان اللبنة، الجبنة) أخرى زيت الزيتون",معظم المنازل (60–80%),دجاج بيّاض  ,بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية مزيج بين الاثنين
برجا,33.650045,35.424124,الفول والزعتر البندورة خيار وخيار وفليفلة,حزيران تموز اب ايلول,إنتاج صغير  إنتاج متوسط,"الخضروات المخللة (مثل الخيار، المقدوس) زيت الزيتون الأعشاب المجففة الزعتر)",معظم المنازل (60–80%),دجاج بيّاض  ,بين 20 و50,علف تجاري جاهز مزيج بين الاثنين
بريح,33.716657,35.653917,الخضار والأشجار متل التفاح والزيتون كرز تقاح افوكادو,حزيران تموز اب ايلول,إنتاج صغير  إنتاج كبير,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) العسل",معظم المنازل (60–80%),دجاج بيّاض  ,أقل من 20,علف تجاري جاهز مخلفات منزلية أو زراعية
بشتفين,33.717805,35.557639,البصل و الفاصوليا البيضاء زيتون خضروات,حزيران تموز اب ايلول,إنتاج صغير  إنتاج متوسط,"زيت الزيتون الأعشاب المجففة (مثل الزعتر) المربيات أو المحفوظات الخضروات المخللة الخيار، المقدوس) دبس العنب",بعض المنازل (30–60%),دجاج بيّاض  ,أقل من 20,مخلفات منزلية أو زراعية
بعقلين,33.68101,35.56628,حضارة و قمح شعير خيار البندورة فول بازيلا كوسا,حزيران تموز اب ايلول,إنتاج صغير  إنتاج كبير  إنتاج متوسط,"زيت الزيتون الأعشاب المجففة (مثل الزعتر) أخرى المربيات أو المحفوظات العسل منتجات الألبان اللبنة، الجبنة)",معظم المنازل (60–80%),دجاج بيّاض  ,بين 20 و50,مزيج بين الاثنين
خريبه الشوف,33.646438,35.642387,اشجار متمرة وخضراوات نصب زيتون وفواكهة,نيسان لايلول,إنتاج متوسط,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) الأعشاب المجففة الزعتر) المربيات أو المحفوظات دبس العنب",بعض المنازل (30–60%),دجاج بيّاض  ,أقل من 20,مزيج بين الاثنين
دميت الشوف,33.698185,35.505803,الزيتون الخضار والفاكهه فاصوليا عريضه وبندوره,حزيران تموز اب ايلول,إنتاج متوسط,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) الأعشاب المجففة الزعتر) المربيات أو المحفوظات منتجات الألبان اللبنة، الجبنة)",بعض المنازل (30–60%),دجاج بيّاض  ,بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية
دير القمر,33.702054,35.556728,الزيتون الفواكه الخضار فاصولياء و البندورة,,إنتاج صغير,"الخضروات المخللة (مثل الخيار، المقدوس) الأعشاب المجففة الزعتر) المربيات أو المحفوظات زيت الزيتون منتجات الألبان اللبنة، الجبنة)",بعض المنازل (30–60%),دجاج بيّاض  ,بين 20 و50,علف تجاري جاهز
ديربابا,33.703575,35.525734,خضار صيفية فاصوليا و قرع فصوليا وقرع,حزيران اب,إنتاج صغير ,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) العسل",معظم المنازل (60–80%),دجاج بيّاض  ,أقل من 20,مزيج بين الاثنين
شحيم,33.627649,35.488343,الزيتون الخضار والفاكهة البندورة وخيار خضار شتل فواكه ما عم بزرع تجي المي عملولنا حلي للل,كل السنة,إنتاج صغير,"زيت الزيتون الأعشاب المجففة (مثل الزعتر) المربيات أو المحفوظات منتجات الألبان اللبنة، الجبنة) الخضروات المخللة الخيار، المقدوس)",معظم المنازل (60–80%),دجاج بيّاض  ,بين 51 و100,مزيج بين الاثنين
عماطور,33.648711,35.607415,افوكادو عنب زيتون البندورة البامية الخضروات والبقوليات,كل السنة,إنتاج متوسط,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) المربيات أو المحفوظات العسل منتجات الألبان اللبنة، الجبنة) أخرى",معظم المنازل (60–80%),دجاج بيّاض  ,بين 20 و50,مزيج بين الاثنين
عين وزين,33.679876,35.6172,بندوره وعلف للمواشي متل باقيه وشعير زيتون بقدونس ملفوف,حزيران تموز اب ايلول,إنتاج متوسط,"الخضروات المخللة (مثل الخيار، المقدوس) زيت الزيتون الأعشاب المجففة الزعتر) المربيات أو المحفوظات العسل منتجات الألبان اللبنة، الجبنة)",معظم المنازل (60–80%),دجاج بيّاض  ,بين 20 و50,مزيج بين الاثنين
غريفه,33.644017,35.562358,بقوليات وخضار شجر زيتون فقط,حزيران تموز اب ايلول,إنتاج صغير ,"الخضروات المخللة (مثل الخيار، المقدوس) زيت الزيتون",بعض المنازل (30–60%),دجاج بيّاض  ,أقل من 20,مخلفات منزلية أو زراعية
كفرحيم,33.697363,35.50962,البندورة وخيار وبتنجان وكوسه ولوبي,حزيران تموز اب ايلول,إنتاج صغير  ,"أخرى منتجات الألبان (مثل اللبنة، الجبنة)",معظم المنازل (60–80%),دجاج بيّاض  ,أقل من 20,مزيج بين الاثنين فضلت اكل طعام منزل أو اشتري لهم قمح وفضلات
مرستي,33.638588,35.662419,التفاح والكرز الخضار على انواعها والبندورة والخضراوات والايجاص الكرز ملفوف بطاطا زراعة اللوبية شجر مثمر طماطم خيار وتفاح وخضار صيفية البصل,حزيران تموز اب ايلول, إنتاج كبير ,"أخرى الأعشاب المجففة (مثل الزعتر) العسل دبس العنب المربيات أو المحفوظات منتجات الألبان اللبنة، الجبنة) الخضروات المخللة الخيار، المقدوس) زيت الزيتون",معظم المنازل (60–80%),دجاج بيّاض  ,بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية قمح وذرة ونخالة مزيج بين الاثنين
مزرعه الشوف,33.637961,35.592496,البندورة جبلية وخضار مشكلة و فول فاصولية لوبية خيار مقتي تين زيتون ومساكب,حزيران تموز اب ايلول,  إنتاج كبير ,"أخرى الخضروات المخللة (مثل الخيار، المقدوس) زيت الزيتون الأعشاب المجففة الزعتر) منتجات الألبان اللبنة، الجبنة) المربيات أو المحفوظات العسل",معظم المنازل (60–80%),دجاج بيّاض  ,بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية مزيج بين الاثنين
معاصر الشوف,33.691618,35.667699,اشجار تفاح زراعة مستدامة البندورة حمص زيتون صنوبر,حزيران تموز اب ايلول,إنتاج متوسط,"الأعشاب المجففة (مثل الزعتر) المربيات أو المحفوظات دبس العنب زيت الزيتون الخضروات المخللة الخيار، المقدوس)",معظم المنازل (60–80%),دجاج بيّاض  ,بين 20 و50,مخلفات منزلية أو زراعية مزيج بين الاثنين
دير دوريت,33.692085,35.542311,الفاكهة والحمضيات والفاصوليا زيتون اشجار خضرة وافوكادو,حزيران تموز اب ايلول,إنتاج متوسط,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) الأعشاب المجففة الزعتر) المربيات أو المحفوظات",معظم المنازل (60–80%),دجاج حم (لحم)  ,أقل من 20,علف تجاري جاهز مخلفات منزلية أو زراعية مزيج بين الاثنين
السمقانيه,33.685768,35.589248,البندورة جبلية+فصولياء وخيار وكوسا,حزيران تموز اب ايلول,إنتاج متوسط,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) المربيات أو المحفوظات العسل",معظم المنازل (60–80%),,,
المطله,33.614412,35.540722,البندورة وخيار وزيتون,من ايار إلى ايلول,إنتاج صغير,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس)",جميع المنازل تقريباً,,,
المغيزيه,33.610274,35.462913,افوكادو وشتول,كانون الأول إلى آذار,إنتاج صغير,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) الأعشاب المجففة الزعتر)",عدد قليل من المنازل (< 30%),,,علف تجاري جاهز مزيج بين الاثنين
باروك,33.70841,35.671584,ملفوف البندورة, ايار لمانون الاول,إنتاج متوسط,"الخضروات المخللة (مثل الخيار، المقدوس) المربيات أو المحفوظات أخرى",معظم المنازل (60–80%),,,
بعذران,33.639561,35.619518,اشجار متمرة,حزيران تموز اب ايلول,إنتاج صغير,زيت الزيتون المربيات أو المحفوظات,بعض المنازل (30–60%),,,
بكيفا,33.592376,35.493755,ورد على انواعه مع زراعة الخضار,حزيران تموز اب ايلول,إنتاج متوسط,"الخضروات المخللة (مثل الخيار، المقدوس)",بعض المنازل (30–60%),,,
خربه بسري,33.585476,35.510269,زيتون و زعتر,كانون الاول,إنتاج متوسط,زيت الزيتون الأعشاب المجففة (مثل الزعتر) العسل,بعض المنازل (30–60%),,,
شارون,33.806677,35.703264,تفاح الخضار,حزيران تموز اب ايلول,إنتاج صغير,"الخضروات المخللة (مثل الخيار، المقدوس)",عدد قليل من المنازل (< 30%),,,
شواليق دير القمر,33.702577,35.562627,فاصوليا زيتون,تموز - تشرين,إنتاج متوسط,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) المربيات أو المحفوظات أخرى",معظم المنازل (60–80%),,,
عترين,33.671272,35.568355,البندورة والملفوف,حزيران تموز اب ايلول,إنتاج متوسط,زيت الزيتون العسل,عدد قليل من المنازل (< 30%),,,
مزموره,33.598838,35.50846,الافوكادو والزعتر,حزيران تموز اب ايلول,إنتاج صغير,الأعشاب المجففة (مثل الزعتر) أخرى,عدد قليل من المنازل (< 30%),,,
البيره,33.73086,35.646694,البندورة خيار بقدونس فصوليا لوبية,حزيران تموز اب ايلول,إنتاج متوسط,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) الأعشاب المجففة الزعتر)",بعض المنازل (30–60%),,,
