القرية:,Y,X,حجم الزراعة:,نوع التربة:,التغيرات المناخية:,تأثير الغيرات المناخية:
باروك,33.70392,35.667094,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة رملية طينية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض
بتلون,33.698393,35.651094,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة رملية  طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع تغيرات في الطقس وتقلبات,انخفاض الإنتاج  تأخير في المواسم الزراعية زيادة الآفات والأمراض صعوبات التلقيح والإثمار
برجا,33.645555,35.419634,أقل من 5 دونم (< 5000 متر مربع),تربة طينية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج تأخير في المواسم الزراعية  زيادة الآفات والأمراض
بريح,33.712167,35.649427,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة طمية ( طينية ورملية) ,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض  صعوبات التلقيح والإثمار
بشتفين,33.713315,35.553149,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية) ,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج  زيادة الآفات والأمراض
بطمه,33.659884,35.619152,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة طمية ( طينية ورملية)  كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج تأخير في المواسم الزراعية  زيادة الآفات والأمراض صعوبات التلقيح والإثمار
بعذران,33.635071,35.615028,"أكثر من 2 هكتار (> 20,000 متر مربع)",تربة طينية,,لا يوجد تأثير كبير
بعقلين,33.67652,35.56179,"أكثر من 2 هكتار (> 20,000 متر مربع)",تربة حمضية (رملية مع وجود أشجار الصنوبر الحجري)  طمية ( طينية ورملية) كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار تغيير توقيت الزراعة ممل يؤثر على موسم الانتاج زيادة موجات الحر الصقيع,انخفاض الإنتاج  تأخير في المواسم الزراعية زيادة الآفات والأمراض
بكيفا,33.587886,35.489265,"أكثر من 2 هكتار (> 20,000 متر مربع)",تربة طينية,ارتفاع درجات الحرارة,زيادة الآفات والأمراض
جديده الشوف,33.660837,35.600025,أقل من 5 دونم (< 5000 متر مربع),تربة طينية,ارتفاع درجات الحرارة نقص هطول الأمطار,صعوبات في التلقيح والإثمار
حاره جندل الشوف,33.613917,35.604788,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة طينية,ارتفاع درجات الحرارة نقص هطول الأمطار,انخفاض الإنتاج زيادة الآفات والأمراض
خربه بسري,33.580986,35.505779,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار,انخفاض الإنتاج
خريبه الشوف,33.641948,35.637897,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة طينية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض صعوبات التلقيح والإثمار 
داريا الشوف,33.647623,35.497831,أقل من 5 دونم (< 5000 متر مربع),تربة طينية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج  تأخير في المواسم الزراعية زيادة الآفات والأمراض صعوبات التلقيح والإثمار
دميت الشوف,33.693695,35.501313,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج  تأخير في المواسم الزراعية زيادة الآفات والأمراض صعوبات التلقيح والإثمار
دير القمر,33.697564,35.552238,أقل من 5 دونم (< 5000 متر مربع),تربة رملية  طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج  تأخير في المواسم الزراعية زيادة الآفات والأمراض
دير دوريت,33.687595,35.537821,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية) ,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج تأخير في المواسم الزراعية  زيادة الآفات والأمراض صعوبات التلقيح والإثمار لا يوجد تأثير كبير
ديربابا,33.699085,35.521244,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض صعوبات التلقيح والإثمار 
شارون,33.802187,35.698774,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض
شحيم,33.623159,35.483853,أقل من 5 دونم (< 5000 متر مربع),تربة طينية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر المياه,انخفاض الإنتاج  تأخير في المواسم الزراعية صعوبات التلقيح والإثمار
شواليق دير القمر,33.698087,35.558137,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض
عانوت,33.627229,35.508108,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية) ,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج زيادة الآفات والأمراض  صعوبات في التلقيح والإثمار
عترين,33.666782,35.563865,أقل من 5 دونم (< 5000 متر مربع),تربة طينية,ارتفاع درجات الحرارة نقص هطول الأمطار,انخفاض الإنتاج زيادة الآفات والأمراض
علمان,33.594209,35.402552,"أكثر من 2 هكتار (> 20,000 متر مربع)",تربة رملية  طمية ( طينية ورملية) كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج  تأخير في المواسم الزراعية زيادة الآفات والأمراض صعوبات التلقيح والإثمار
عماطور,33.644221,35.602925,"أكثر من 2 هكتار (> 20,000 متر مربع)",تربة طينية  كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج  صعوبات في التلقيح والإثمار زيادة الآفات والأمراض
عين زحلتا,33.745791,35.689488,أقل من 5 دونم (< 5000 متر مربع),تربة رملية طمية ( طينية ورملية) ,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض  صعوبات التلقيح والإثمار
عين قاني,33.64873,35.60714,أقل من 5 دونم (< 5000 متر مربع),تربة طينية,ارتفاع درجات الحرارة نقص هطول الأمطار,انخفاض الإنتاج تأخير في المواسم الزراعية
عين وزين,33.675386,35.61271,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة طمية ( طينية ورملية)  كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة الصقيع موجات الحر,انخفاض الإنتاج  تأخير في المواسم الزراعية زيادة الآفات والأمراض
غريفه,33.639527,35.557868,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية) ,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر كثرة الحشرات بسبب الصقيع,زيادة الآفات والأمراض  صعوبات في التلقيح والإثمار
كترمايا الشوف,33.621551,35.449825,أقل من 5 دونم (< 5000 متر مربع),تربة طينية,ارتفاع درجات الحرارة نقص هطول الأمطار,انخفاض الإنتاج زيادة الآفات والأمراض
كفرحيم,33.692873,35.50513,أقل من 5 دونم (< 5000 متر مربع),تربة رملية  طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار في غير وقتها ونقص زيادة موجات الحر,انخفاض الإنتاج  لا يوجد تأثير كبير
كفرفاقود,33.698864,35.532918,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة طمية ( طينية ورملية)  كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج زيادة الآفات والأمراض  صعوبات في التلقيح والإثمار
كفرنبرخ,33.696393,35.62737,"أكثر من 2 هكتار (> 20,000 متر مربع)",تربة رملية طمية ( طينية ورملية)  كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج  زيادة الآفات والأمراض تأخير في المواسم الزراعية
مجدل المعوش,33.721115,35.617809,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة طمية ( طينية ورملية)  كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض 
مختاره,33.658863,35.608259,أقل من 5 دونم (< 5000 متر مربع),تربة طينية,ارتفاع درجات الحرارة نقص هطول الأمطار,زيادة الآفات والأمراض
مرستي,33.634098,35.657929,"أكثر من 2 هكتار (> 20,000 متر مربع)",تربة رملية  طمية ( طينية ورملية) كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج  تأخير في المواسم الزراعية زيادة الآفات والأمراض صعوبات التلقيح والإثمار
مزبود,33.607921,35.480528,أقل من 5 دونم (< 5000 متر مربع),تربة رملية  طمية ( طينية ورملية) كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع الماء في فصل الشتاء,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض  صعوبات التلقيح والإثمار
مزرعه الشوف,33.633471,35.588006,"أكثر من 2 هكتار (> 20,000 متر مربع)",تربة رملية  طمية ( طينية ورملية) كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة الصقيع موجات الحر,انخفاض الإنتاج  تأخير في المواسم الزراعية زيادة الآفات والأمراض صعوبات التلقيح والإثمار
مزرعهالشوف,33.633939,35.582526,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار,انخفاض الإنتاج زيادة الآفات والأمراض
مزموره,33.594348,35.50397,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار زيادة الصقيع,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض صعوبات التلقيح والإثمار
معاصر الشوف,33.687128,35.663209,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج تأخير في المواسم الزراعية  زيادة الآفات والأمراض صعوبات التلقيح والإثمار
نيحا الشوف,33.606021,35.616725,"أكثر من 2 هكتار (> 20,000 متر مربع)",تربة طينية  كلسية,نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج  تأخير في المواسم الزراعية زيادة الآفات والأمراض صعوبات التلقيح والإثمار
ورهانيه,33.73627,35.668631,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة طينية,ارتفاع درجات الحرارة نقص هطول الأمطار,انخفاض الإنتاج زيادة الآفات والأمراض
